id,paintjobFamilies,weaponIds,spriteMap
CPW_versant_j_Expanded_barrel_RIGHT,snowblast,diableavionics_versant_j_barrel_RIGHT,graphics/jg/ships/versant/diableavionics_versant_gunRight.png -> graphics/navy/ships/versant/diableavionics_versant_gunRight.png
CPW_versant_j_Expanded_bit_LEFT,snowblast,diableavionics_versant_j_bit_LEFT,graphics/jg/ships/versant/diableavionics_versant_bitLeft.png -> graphics/navy/ships/versant/diableavionics_versant_bitLeft.png
CPW_versant_j_Expanded_bit_RIGHT,snowblast,diableavionics_versant_j_bit_RIGHT,graphics/jg/ships/versant/diableavionics_versant_bitRight.png -> graphics/navy/ships/versant/diableavionics_versant_bitRight.png
CPW_versant_j_Expanded_door_LEFT,snowblast,diableavionics_versant_j_door_LEFT,graphics/jg/ships/versant/diableavionics_versant_doorLeft.png -> graphics/navy/ships/versant/diableavionics_versant_doorLeft.png
CPW_versant_j_Expanded_door_RIGHT,snowblast,diableavionics_versant_j_door_RIGHT,graphics/jg/ships/versant/diableavionics_versant_doorRight.png -> graphics/navy/ships/versant/diableavionics_versant_doorRight.png
CPW_versant_j_Expanded_panel_LEFT,snowblast,diableavionics_versant_j_panel_LEFT,graphics/jg/ships/versant/diableavionics_versant_panelLeft.png -> graphics/navy/ships/versant/diableavionics_versant_panelLeft.png
CPW_versant_j_Expanded_panel_RIGHT,snowblast,diableavionics_versant_j_panel_RIGHT,graphics/jg/ships/versant/diableavionics_versant_panelRight.png -> graphics/navy/ships/versant/diableavionics_versant_panelRight.png
CPW_versant_j_Expanded_prong_LEFT,snowblast,diableavionics_versant_j_prong_LEFT,graphics/jg/ships/versant/diableavionics_versant_prongLeft.png -> graphics/navy/ships/versant/diableavionics_versant_prongLeft.png
CPW_versant_j_Expanded_prong_RIGHT,snowblast,diableavionics_versant_j_prong_RIGHT,graphics/jg/ships/versant/diableavionics_versant_prongRight.png -> graphics/navy/ships/versant/diableavionics_versant_prongRight.png
CPW_versant_j_Expanded_shield_LEFT,snowblast,diableavionics_versant_j_shield_LEFT,graphics/jg/ships/versant/diableavionics_versant_shieldLeft.png -> graphics/navy/ships/versant/diableavionics_versant_shieldLeft.png
CPW_versant_j_Expanded_shield_RIGHT,snowblast,diableavionics_versant_j_shield_RIGHT,graphics/jg/ships/versant/diableavionics_versant_shieldRight.png -> graphics/navy/ships/versant/diableavionics_versant_shieldRight.png
CPW_versant_j_Expanded_slots,snowblast,diableavionics_versant_j_slots,graphics/jg/ships/versant/diableavionics_versant_slots.png -> graphics/navy/ships/versant/diableavionics_versant_slots.png
,,,
#Expanded Paintjobs,,,
,,,
CPW_versant_j_royalblue_barrel_LEFT,royalblue,diableavionics_versant_j_barrel_LEFT,graphics/jg/ships/versant/diableavionics_versant_gunLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_gunLeft.png
CPW_versant_j_royalblue_barrel_RIGHT,royalblue,diableavionics_versant_j_barrel_RIGHT,graphics/jg/ships/versant/diableavionics_versant_gunRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_gunRight.png
CPW_versant_j_royalblue_bit_LEFT,royalblue,diableavionics_versant_j_bit_LEFT,graphics/jg/ships/versant/diableavionics_versant_bitLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_bitLeft.png
CPW_versant_j_royalblue_bit_RIGHT,royalblue,diableavionics_versant_j_bit_RIGHT,graphics/jg/ships/versant/diableavionics_versant_bitRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_bitRight.png
CPW_versant_j_royalblue_door_LEFT,royalblue,diableavionics_versant_j_door_LEFT,graphics/jg/ships/versant/diableavionics_versant_doorLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_doorLeft.png
CPW_versant_j_royalblue_door_RIGHT,royalblue,diableavionics_versant_j_door_RIGHT,graphics/jg/ships/versant/diableavionics_versant_doorRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_doorRight.png
CPW_versant_j_royalblue_panel_LEFT,royalblue,diableavionics_versant_j_panel_LEFT,graphics/jg/ships/versant/diableavionics_versant_panelLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_panelLeft.png
CPW_versant_j_royalblue_panel_RIGHT,royalblue,diableavionics_versant_j_panel_RIGHT,graphics/jg/ships/versant/diableavionics_versant_panelRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_panelRight.png
CPW_versant_j_royalblue_prong_LEFT,royalblue,diableavionics_versant_j_prong_LEFT,graphics/jg/ships/versant/diableavionics_versant_prongLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_prongLeft.png
CPW_versant_j_royalblue_prong_RIGHT,royalblue,diableavionics_versant_j_prong_RIGHT,graphics/jg/ships/versant/diableavionics_versant_prongRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_prongRight.png
CPW_versant_j_royalblue_shield_LEFT,royalblue,diableavionics_versant_j_shield_LEFT,graphics/jg/ships/versant/diableavionics_versant_shieldLeft.png -> graphics/royalblue/ships/versant/diableavionics_versant_shieldLeft.png
CPW_versant_j_royalblue_shield_RIGHT,royalblue,diableavionics_versant_j_shield_RIGHT,graphics/jg/ships/versant/diableavionics_versant_shieldRight.png -> graphics/royalblue/ships/versant/diableavionics_versant_shieldRight.png
CPW_versant_j_royalblue_slots,royalblue,diableavionics_versant_j_slots,graphics/jg/ships/versant/diableavionics_versant_slots.png -> graphics/royalblue/ships/versant/diableavionics_versant_slots.png
,,,
#Other Paintjobs,,,
,,,
CPW_LowState_RB,royalblue,diable_LowState,graphics/jg/weapons/diable_lowStateBeamBase.png -> graphics/royalblue/weapons/diable_lowPowerStateBaseRB.png
CPW_LowState2_RB,royalblue,diable_LowState2,graphics/jg/weapons/diable_lowStateBeamBase2.png -> graphics/royalblue/weapons/diable_lowPowerStateBase2RB.png
